"url","headline","summary","date","tag"
"https://www.bbc.comNA","Watch: Edinburgh International Swim Meet","Watch live coverage as a host of Team GB Olympians take part in the Edinburgh International Swim meet.",NA,NA
"https://www.bbc.com/news/articles/ceqj3z4g0e1o","Do we need cocoa-free chocolate and is it nice?","Cocoa prices are soaring so new chocolate firms are looking at an alternative ingredient.","10 Apr 2025",NA
"https://www.bbc.com/news/articles/cgjl487qg5lo","Hooters restaurant chain files for bankruptcy","Like many other casual dining chains, Hooters has struggled in recent years with rising costs and wages.","1 Apr 2025","Business"
"https://www.bbc.com/news/articles/cwydv40g892o","What is live shopping and will it take off?","Big in Asia, live shopping involves brands putting on live shows to sell direct to shoppers.","3 Apr 2025",NA
"https://www.bbc.com/news/articles/ce3qlz2y3gyo","How might tariffs change the price of Nike's iconic trainers?","What impact will the introduction of hefty tariffs on countries in Asia have on Nike's iconic US trainer?","5 Apr 2025","Business"
"https://www.bbc.com/sport/football/articles/c05nm241ddpo","Early Weir goal helps Northern Ireland beat Romania","Kascie Weir scores her first international goal as Northern Ireland picked up a much-needed 1-0 win against Romania in the Nations League at Windsor Park.","8 Apr 2025","NI Women"
"https://www.bbc.com/news/articles/cm2nplgm2kpo","A revolution is under way in India's trainer industry","India wants to boost the domestic trainer industry but will small domestic makers suffer?","8 Apr 2025","Asia"
"https://www.bbc.comNA","Teenager Weir's first Northern Ireland goal sinks Romania","Teenager Kascie Weir scores her first international goal as Northern Ireland picked up a much-needed 1-0 win against Romania in the Nations League at Windsor Park.",NA,NA
"https://www.bbc.com/news/articles/c3r8n3yx1x5o","Global executions at highest level since 2015, report says","But Amnesty International also says only 15 countries carried out the death penalty, the lowest on record","8 Apr 2025","Middle East"
"https://www.bbc.com/news/articles/cm257z1y2q9o","Trump to charge high tariffs on 'worst offenders' globally","The president says the US has been ""pillaged, raped and plundered"" for years by international trade partners.","3 Apr 2025","US & Canada"
"https://www.bbc.com/news/articles/cjewvpkw7weo","The plans to put data centres in orbit and on the Moon","Proponents say space-based data centres will be more secure, but sceptics say big hurdles remain.","9 Apr 2025","Technology"
"https://www.bbc.com/news/articles/c0qndqz41jxo","US pharma boss: 'Tariffs are pivotal moment and hard to come back from'","Eli Lilly's boss tells the BBC he is doubtful tariffs will bring jobs to the US or raise billions in taxes.","3 Apr 2025","US & Canada"
